gene,BCC199_G3F,BCC199_G3H,BCC199_G6M,BCC199_G6N,BCC199_S3K,BCC199_S3L,BCC199_S6T,BCC199_S6U,BCC56535_G3F,BCC56535_G3H,BCC56535_G6M,BCC56535_G6N,BCC56535_S3K,BCC56535_S3L,BCC56535_S6T,BCC56535_S6U,HUT2365_G3F,HUT2365_G3H,HUT2365_G6M,HUT2365_G6N,HUT2365_S3K,HUT2365_S3L,HUT2365_S6T,HUT2365_S6U
acu00342_1,11311,7036,8152,7817,9156,9607,9238,9431,7958,10616,4192,6981,6713,6895,7848,10526,8144,6504,6308,8092,9665,5992,11327,11301
acu00342_2,766,378,408,330,143,174,129,111,136,134,171,216,472,536,180,242,219,154,199,163,471,165,299,267
acu00343_1,833,492,599,543,719,829,501,414,707,876,543,819,985,886,613,730,980,942,944,983,1826,607,864,1253
acu00344_1,1312,1358,2383,1588,2029,2218,1596,1240,2251,3254,1413,2372,979,1008,911,1130,2925,2970,2314,3077,2017,1399,1386,2123
acu00344_2,9904,11846,25486,22528,4687,5138,6552,6045,1674,1316,3388,2420,150,181,1029,806,1024,1075,1167,970,395,197,324,494
acu00345_2,143,81,98,77,31,23,27,27,274,318,51,109,25,73,33,66,18,15,21,22,49,35,47,35
acu00345_1,642,679,911,771,975,1008,3027,3539,654,1208,471,634,586,334,372,335,533,505,515,681,949,1054,861,1128
acu00346_2,26,13,29,37,117,127,76,50,103,115,65,75,147,102,74,129,51,63,48,54,78,44,27,90
acu00346_1,22,36,27,18,3,2,12,2,219,950,59,179,442,1327,29,207,68,58,73,87,25,31,14,13
acu00347_1,1030,287,565,636,381,453,343,352,7,2,2,9,13,15,6,16,112,68,49,78,24,13,25,81
acu00348_2,318,427,235,156,392,416,527,189,736,1287,484,308,277,480,156,254,894,731,848,829,1607,1149,691,947
acu00348_1,29,69,37,28,188,212,72,43,560,706,764,999,1609,1929,956,1602,237,299,231,168,705,306,301,414
acu00349_1,112,171,248,298,51,63,32,33,184,144,53,106,189,160,108,85,108,115,143,104,113,118,93,120
acu00349_2,82,36,90,79,11,29,80,58,61,212,62,70,4,5,18,37,130,136,93,104,62,58,51,64
acu00350_1,2013,916,924,987,579,600,824,896,1727,1315,1525,2071,1552,1836,2115,2783,351,376,414,369,1228,481,605,701
acu00350_2,1,1,0,0,9,2,11,7,0,0,0,1,0,2,1,1,7,8,2,2,2,5,6,2
acu00351_1,106,79,77,98,63,65,58,80,96,122,108,169,207,287,54,67,54,61,54,71,135,107,164,158
acu00352_1,2710,1102,1543,1439,448,465,452,373,355,505,321,696,642,362,884,836,913,893,666,861,525,185,371,579
acu00352_2,1227,933,1354,1338,789,826,907,894,2597,4546,7046,10873,3839,5983,4541,3081,1883,1509,1670,2008,1016,460,979,1034
acu00353_1,17040,15151,15007,11346,4103,4482,5206,5705,4118,3812,5013,5472,4773,3606,4785,4262,5211,4824,5677,5887,2758,1698,2422,3160
acu00353_2,22448,41499,34199,24896,15581,16613,14104,13262,15399,26406,9217,14894,20396,33765,4744,8185,13735,14060,14562,15000,31133,21531,12452,12687
acu00354_2,14123,9790,13504,13018,12781,14777,10535,9786,15384,13923,10904,10393,8787,7211,12698,16481,18153,16271,14496,18540,18723,15884,19171,29591
acu00354_1,1247,1228,1566,1328,1304,1484,991,861,1328,1411,1297,1934,1177,1130,1684,1749,3256,3279,2615,3646,4243,2752,3146,3964
acu00355_1,99,49,110,119,259,324,174,99,186,302,279,352,3235,5169,542,905,493,484,585,592,1065,506,665,582
acu00356_1,4392,3607,2739,2051,12572,13273,11804,10407,2364,1664,753,1423,12245,9997,7580,7186,1267,1279,1194,1200,12213,6474,10763,11876
acu00356_2,999,698,482,439,10529,11591,23193,22376,378,259,62,72,10525,8000,20537,23614,1540,1178,1467,1798,17672,9597,71751,66534
acu00357_1,664,1769,1704,896,14907,15853,7085,6415,1168,1328,143,531,20091,13750,5190,6650,252,378,142,156,18745,15591,15448,21754
acu00357_2,827,1285,968,875,705,732,278,345,1907,3295,1675,2276,72,255,196,166,7391,8330,8553,7596,4122,1932,564,460
acu00358_1,95,226,154,93,2106,2419,2678,2886,727,1850,706,1149,2072,1960,1372,1568,492,449,285,402,3645,2376,2866,3618
acu00358_2,15,29,28,15,170,183,111,98,1435,1527,351,807,937,1785,168,431,315,264,227,265,140,63,146,131
acu00359_2,2308,7141,5004,5475,5272,5745,3350,2813,3481,9549,14332,21103,5882,6348,1712,2876,18211,20029,17994,15594,18167,17206,12357,14599
acu00359_1,726,982,692,942,1612,2020,2155,2002,2674,3845,2542,5233,2645,1788,926,1335,2344,2609,1765,2252,760,631,428,769
acu00360_2,15750,7491,9755,9229,8452,9649,7524,6300,15632,13337,9072,8511,4944,5993,11448,16423,20868,14771,14984,21458,6627,4391,6281,11132
acu00360_1,8962,10180,11786,10035,10959,11281,12218,12318,5931,8759,5053,7608,6299,7185,5000,6688,11262,9708,11537,12961,10127,5986,8913,12758
acu00361_2,377,316,325,263,98,128,102,106,186,278,231,285,229,224,223,229,449,486,483,455,212,123,110,141
acu00361_1,513,374,391,360,2251,2175,1012,620,795,1094,1051,1837,4373,6864,1806,2084,1116,1197,1238,1284,2734,834,1297,1702
acu00362_1,10,16,4,14,39,32,15,7,47,41,10,10,52,40,12,19,21,20,17,12,3,709,14,19
acu00362_2,14281,14972,10615,8059,7623,8420,8284,7595,32812,21469,2470,3004,17004,10926,2700,5798,7038,9358,6548,6239,17793,24156,14461,19522
acu00363_1,107,55,77,80,28,44,38,38,474,433,91,40,62,98,156,80,89,81,125,98,33,16,15,15
acu00363_2,1310,743,1189,1303,1718,1961,1709,1551,1234,1702,1727,2124,3692,4937,2177,2282,2765,2360,3150,3353,3513,1877,3019,3185
acu00364_2,941,507,947,292,603,720,175,210,13,35,17,50,8,15,3,21,0,0,0,1,13,2,12,6
acu00365_1,1,1,0,1,1,0,30,4,6650,8284,276,602,437,1304,50,174,9,92,119,9,49,323,372,304
acu00365_2,967,351,530,482,472,581,1012,900,114,182,200,392,513,430,662,730,316,334,437,371,558,428,1036,1080
acu00366_2,609,479,270,202,216,274,319,294,141,188,177,354,347,346,300,324,6734,5642,6810,7320,3637,1981,3508,3737
